DateOfReport,ReportID,ProductReference,SupplierName,GarmentType,Material,Weight,ProposedUnitsPerCarton,ProposedFoldingMethod,ProposedLayout,PackagingQuality,Size,Collection
2023-01-06,RPT0201858,PRD00005,SupplierB,Shirt,Polyester,0.16,49.0,Method2,LayoutA,Good,M,Spring
2023-01-06,RPT0495712,PRD00007,SupplierG,Shirt,Cotton,0.22,20.0,Method2,LayoutB,Bad,XL,Winter
2023-01-07,RPT0080933,PRD00012,SupplierE,Shorts,Wool,0.33,32.0,Method3,LayoutC,Good,XS,Summer
2023-01-07,RPT0156175,PRD00026,SupplierA,T-Shirt,Cotton,0.15,46.0,Method1,LayoutB,Good,M,Autumn
2023-01-07,RPT0223418,PRD00016,SupplierA,Shirt,Cotton,0.2,31.0,Method1,LayoutA,Good,L,Spring
2023-01-07,RPT0325443,PRD00027,SupplierC,Shirt,Silk,0.11,41.0,Method3,LayoutB,Bad,S,Summer
2023-01-07,RPT0351919,PRD00001,SupplierA,Jacket,Cotton,0.84,15.0,Method1,LayoutD,Good,L,Summer
2023-01-07,RPT0404986,PRD00002,SupplierH,Shorts,Cotton,0.35,31.0,Method2,LayoutG,Good,S,Summer
2023-01-07,RPT0442974,PRD00022,SupplierC,Shirt,Cotton,0.16,37.0,Method1,LayoutA,Good,M,Autumn
2023-01-08,RPT0083408,PRD00001,SupplierA,Jacket,Cotton,0.84,16.0,Method2,LayoutC,Good,L,Summer
2023-01-08,RPT0099632,PRD00031,SupplierE,Skirt,Cotton,0.32,27.0,Method2,LayoutC,Good,L,Summer
2023-01-08,RPT0421381,PRD00032,SupplierA,Shirt,Denim,0.3,24.0,Method2,LayoutB,Good,S,Summer
2023-01-08,RPT0490147,PRD00003,SupplierA,Sweater,Cotton,0.85,13.0,Method2,LayoutC,Good,M,Spring
2023-01-09,RPT0013084,PRD00009,SupplierG,Skirt,Linen,0.23,22.0,Method3,LayoutB,Good,L,Summer
2023-01-09,RPT0225705,PRD00011,SupplierH,Shirt,Silk,0.15,39.0,Method3,LayoutA,Bad,M,Summer
2023-01-09,RPT0248565,PRD00003,SupplierA,Sweater,Cotton,0.85,11.0,Method1,LayoutC,Good,M,Spring
2023-01-09,RPT0308896,PRD00033,SupplierB,Shirt,Silk,0.14,43.0,Method3,LayoutB,Good,L,Winter
2023-01-09,RPT0322582,PRD00002,SupplierB,Shorts,Cotton,0.35,21.0,Method2,LayoutB,Good,S,Summer
2023-01-10,RPT0144412,PRD00017,SupplierB,Pants,Cotton,0.37,22.0,Method2,LayoutB,Good,L,Summer
2023-01-10,RPT0246446,PRD00002,SupplierF,Shorts,Cotton,0.35,25.0,Method2,LayoutB,Good,S,Summer
2023-01-10,RPT0300195,PRD00010,SupplierD,Coat,Linen,1.51,9.0,Method3,LayoutD,Good,S,Summer
2023-01-11,RPT0372817,PRD00027,SupplierB,Shirt,Silk,0.11,41.0,Method3,LayoutA,Good,S,Summer
2023-01-11,RPT0439953,PRD00016,SupplierB,Shirt,Cotton,0.2,29.0,Method2,LayoutB,Good,L,Spring
2023-01-11,RPT0456085,PRD00006,SupplierA,Shirt,Silk,0.16,46.0,Method3,LayoutB,Good,L,Summer
2023-01-13,RPT0037301,PRD00020,SupplierA,Pants,Cotton,0.34,26.0,Method2,LayoutB,Good,S,Spring
2023-01-13,RPT0106821,PRD00025,SupplierA,Dress,Wool,0.72,19.0,Method3,LayoutF,Good,M,Autumn
2023-01-13,RPT0305223,PRD00018,SupplierC,Dress,Cotton,0.46,31.0,Method2,LayoutB,Good,XL,Winter
2023-01-13,RPT0323190,PRD00004,SupplierA,Skirt,Polyester,0.25,31.0,Method1,LayoutC,Good,L,Winter
2023-01-13,RPT0411624,PRD00008,SupplierC,T-Shirt,Polyester,0.13,41.0,Method2,LayoutA,Good,S,Spring
2023-01-14,RPT0024991,PRD00017,SupplierF,Pants,Cotton,0.37,22.0,Method1,LayoutB,Good,L,Summer
2023-01-14,RPT0109384,PRD00027,SupplierF,Shirt,Silk,0.11,48.0,Method3,LayoutB,Good,S,Summer
2023-01-14,RPT0254216,PRD00032,SupplierA,Shirt,Denim,0.3,33.0,Method2,LayoutB,Good,S,Summer
2023-01-14,RPT0482262,PRD00023,SupplierA,Pants,Silk,0.28,33.0,Method3,LayoutB,Good,M,Summer
2023-01-15,RPT0007748,PRD00022,SupplierC,Shirt,Cotton,0.16,42.0,Method2,LayoutA,Good,M,Autumn
2023-01-16,RPT0174991,PRD00019,SupplierF,Jacket,Cotton,0.76,12.0,Method2,LayoutD,Uncertain,M,Summer
2023-01-16,RPT0185964,PRD00018,SupplierD,Dress,Cotton,0.46,31.0,Method1,LayoutC,Good,XL,Winter
2023-01-17,RPT0007968,PRD00029,SupplierC,Skirt,Wool,0.32,30.0,Method3,LayoutC,Good,S,Summer
2023-01-17,RPT0027838,PRD00032,SupplierA,Shirt,Denim,0.3,26.0,Method2,LayoutB,Good,S,Summer
2023-01-18,RPT0122200,PRD00001,SupplierC,Jacket,Cotton,0.84,19.0,Method2,LayoutC,Bad,L,Summer
2023-01-18,RPT0172514,PRD00015,SupplierB,Shirt,Polyester,0.12,39.0,Method2,LayoutA,Good,M,Summer
2023-01-18,RPT0260096,PRD00004,SupplierD,Skirt,Polyester,0.25,25.0,Method2,LayoutB,Good,L,Winter
2023-01-20,RPT0099954,PRD00022,SupplierA,Shirt,Cotton,0.16,39.0,Method1,LayoutA,Bad,M,Autumn
2023-01-20,RPT0388386,PRD00016,SupplierF,Shirt,Cotton,0.2,29.0,Method1,LayoutA,Bad,L,Spring
2023-01-20,RPT0408805,PRD00022,SupplierB,Shirt,Cotton,0.16,12.0,Method1,LayoutB,Good,M,Autumn
2023-01-20,RPT0410838,PRD00022,SupplierA,Shirt,Cotton,0.16,37.0,Method2,LayoutA,Good,M,Autumn
2023-01-21,RPT0294669,PRD00003,SupplierH,Sweater,Cotton,0.85,11.0,Method1,LayoutD,Bad,M,Spring
2023-01-21,RPT0311927,PRD00017,SupplierB,Pants,Cotton,0.37,30.0,Method2,LayoutC,Bad,L,Summer
2023-01-22,RPT0059635,PRD00019,SupplierD,Jacket,Cotton,0.76,10.0,Method1,LayoutC,Good,M,Summer
2023-01-22,RPT0240818,PRD00026,SupplierF,T-Shirt,Cotton,0.15,33.0,Method2,LayoutB,Good,M,Autumn
2023-01-22,RPT0427144,PRD00004,SupplierA,Skirt,Polyester,0.25,31.0,Method2,LayoutB,Good,L,Winter
2023-01-23,RPT0218288,PRD00009,SupplierG,Skirt,Linen,0.23,23.0,Method3,LayoutC,Good,L,Summer
2023-01-23,RPT0243494,PRD00005,SupplierC,Shirt,Polyester,0.16,33.0,Method1,LayoutA,Good,M,Spring
2023-01-23,RPT0279863,PRD00018,SupplierB,Dress,Cotton,0.46,29.0,Method1,LayoutC,Good,XL,Winter
2023-01-23,RPT0314929,PRD00031,SupplierA,Skirt,Cotton,0.32,20.0,Method1,LayoutB,Good,L,Summer
2023-01-23,RPT0436990,PRD00007,SupplierE,Shirt,Cotton,0.22,30.0,Method1,LayoutB,Good,XL,Winter
2023-01-24,RPT0098857,PRD00023,SupplierB,Pants,Silk,0.28,31.0,Method3,LayoutC,Good,M,Summer
2023-01-24,RPT0168139,PRD00024,SupplierA,Jacket,Cotton,0.73,19.0,Method1,LayoutC,Bad,L,Summer
2023-01-24,RPT0225567,PRD00007,SupplierB,Shirt,Cotton,0.22,33.0,Method1,LayoutA,Good,XL,Winter
2023-01-24,RPT0258497,PRD00001,SupplierA,Jacket,Cotton,0.84,19.0,Method2,LayoutC,Good,L,Summer
2023-01-24,RPT0398374,PRD00023,SupplierC,Pants,Silk,0.28,30.0,Method3,LayoutB,Good,M,Summer
2023-01-25,RPT0136012,PRD00014,SupplierB,Pants,Cotton,0.42,26.0,Method1,LayoutB,Good,M,Winter
2023-01-25,RPT0305179,PRD00023,SupplierC,Pants,Silk,0.28,24.0,Method3,LayoutB,Bad,M,Summer
2023-01-26,RPT0029623,PRD00026,SupplierE,T-Shirt,Cotton,0.15,44.0,Method2,LayoutB,Good,M,Autumn
2023-01-26,RPT0102217,PRD00025,SupplierA,Dress,Wool,0.72,17.0,Method3,LayoutC,Good,M,Autumn
2023-01-26,RPT0191523,PRD00016,SupplierB,Shirt,Cotton,0.2,27.0,Method1,LayoutA,Good,L,Spring
2023-01-26,RPT0209795,PRD00004,SupplierB,Skirt,Polyester,0.25,23.0,Method1,LayoutB,Good,L,Winter
2023-01-26,RPT0453026,PRD00017,SupplierA,Pants,Cotton,0.37,32.0,Method1,LayoutC,Good,L,Summer
2023-01-27,RPT0035796,PRD00018,SupplierB,Dress,Cotton,0.46,20.0,Method2,LayoutB,Good,XL,Winter
2023-01-27,RPT0137012,PRD00001,SupplierD,Jacket,Cotton,0.84,12.0,Method1,LayoutD,Good,L,Summer
2023-01-27,RPT0401269,PRD00028,SupplierC,Dress,Silk,0.37,28.0,Method3,LayoutB,Bad,XS,Winter
2023-01-28,RPT0009848,PRD00012,SupplierA,Shorts,Wool,0.33,20.0,Method3,LayoutB,Good,XS,Summer
2023-01-28,RPT0184615,PRD00022,SupplierC,Shirt,Cotton,0.16,32.0,Method1,LayoutB,Good,M,Autumn
2023-01-28,RPT0475102,PRD00003,SupplierB,Sweater,Cotton,0.85,18.0,Method1,LayoutC,Bad,M,Spring
2023-01-29,RPT0025918,PRD00003,SupplierA,Sweater,Cotton,0.85,10.0,Method2,LayoutD,Good,M,Spring
2023-01-29,RPT0218305,PRD00011,SupplierC,Shirt,Silk,0.15,32.0,Method3,LayoutA,Bad,M,Summer
2023-01-29,RPT0330239,PRD00029,SupplierA,Skirt,Wool,0.32,28.0,Method3,LayoutB,Good,S,Summer
2023-01-29,RPT0361179,PRD00016,SupplierF,Shirt,Cotton,0.2,31.0,Method1,LayoutB,Good,L,Spring
2023-01-29,RPT0474190,PRD00023,SupplierC,Pants,Silk,0.28,25.0,Method3,LayoutB,Good,M,Summer
2023-01-30,RPT0103167,PRD00027,SupplierA,Shirt,Silk,0.11,37.0,Method3,LayoutB,Good,S,Summer
2023-01-30,RPT0224096,PRD00009,SupplierF,Skirt,Linen,0.23,20.0,Method2,LayoutB,Bad,L,Summer
2023-01-30,RPT0312031,PRD00017,SupplierA,Pants,Cotton,0.37,20.0,Method2,LayoutC,Good,L,Summer
2023-01-31,RPT0337780,PRD00016,SupplierC,Shirt,Cotton,0.2,32.0,Method2,LayoutB,Good,L,Spring
2023-01-31,RPT0466672,PRD00033,SupplierD,Shirt,Silk,0.14,43.0,Method3,LayoutB,Good,L,Winter
2023-02-01,RPT0130033,PRD00034,SupplierF,Shorts,Silk,0.23,24.0,Method3,LayoutA,Bad,M,Summer
2023-02-01,RPT0286282,PRD00027,SupplierA,Shirt,Silk,0.11,37.0,Method3,LayoutA,Good,S,Summer
2023-02-02,RPT0140685,PRD00014,SupplierD,Pants,Cotton,0.42,23.0,Method2,LayoutB,Good,M,Winter
2023-02-02,RPT0223794,PRD00031,SupplierB,Skirt,Cotton,0.32,31.0,Method1,LayoutB,Good,L,Summer
2023-02-02,RPT0248718,PRD00023,SupplierC,Pants,Silk,0.28,23.0,Method3,LayoutB,GOOD,M,Summer
2023-02-03,RPT0040711,PRD00013,SupplierB,T-Shirt,Silk,0.1,30.0,Method3,LayoutA,Good,S,Summer
2023-02-03,RPT0270969,PRD00015,SupplierC,Shirt,Polyester,0.12,32.0,Method1,LayoutB,Bad,M,Summer
2023-02-04,RPT0211834,PRD00026,SupplierF,T-Shirt,Cotton,0.15,40.0,Method2,LayoutA,Good,M,Autumn
2023-02-04,RPT0264822,PRD00022,SupplierA,Shirt,Cotton,0.16,47.0,Method1,LayoutA,Good,M,Autumn
2023-02-04,RPT0292974,PRD00028,SupplierE,Dress,Silk,0.37,29.0,Method3,LayoutC,Good,XS,Winter
2023-02-04,RPT0340412,PRD00015,SupplierA,Shirt,Polyester,0.12,41.0,Method1,LayoutA,Good,M,Summer
2023-02-04,RPT0457210,PRD00019,SupplierE,Jacket,Cotton,0.76,19.0,Method1,LayoutC,Bad,M,Summer
2023-02-05,RPT0360340,PRD00004,SupplierC,Skirt,Polyester,0.25,30.0,Method2,LayoutC,Good,L,Winter
2023-02-06,RPT0018569,PRD00026,SupplierF,T-Shirt,Cotton,0.15,42.0,Method1,LayoutA,Bad,M,Autumn
2023-02-06,RPT0389554,PRD00029,SupplierC,Skirt,Wool,0.32,32.0,Method3,LayoutB,Good,S,Summer
2023-02-07,RPT0020802,PRD00030,SupplierA,Shirt,Wool,0.26,29.0,Method3,LayoutC,Good,S,Winter
2023-02-07,RPT0186324,PRD00034,SupplierB,Shorts,Silk,0.23,22.0,Method3,LayoutB,Good,M,Summer
2023-02-08,RPT0130629,PRD00013,SupplierB,T-Shirt,Silk,0.1,33.0,Method3,LayoutA,Good,S,Summer
2023-02-08,RPT0173126,PRD00015,SupplierD,Shirt,Polyester,0.12,45.0,Method2,LayoutB,Good,M,Summer
2023-02-08,RPT0193120,PRD00019,SupplierA,Jacket,Cotton,0.76,12.0,Method2,LayoutD,Good,M,Summer
2023-02-08,RPT0263952,PRD00026,SupplierA,T-Shirt,Cotton,0.15,32.0,Method1,LayoutA,Good,M,Autumn
2023-02-08,RPT0298839,PRD00021,SupplierH,Suit,Cotton,1.11,5.0,Method1,LayoutE,Bad,M,Spring
2023-02-08,RPT0348522,PRD00024,SupplierB,Jacket,Cotton,0.73,14.0,Method2,LayoutD,Good,L,Summer
2023-02-08,RPT0450414,PRD00004,SupplierD,Skirt,Polyester,0.25,24.0,Method1,LayoutC,Good,L,Winter
2023-02-09,RPT0043572,PRD00004,SupplierA,Skirt,Polyester,0.25,23.0,Method1,LayoutC,Good,L,Winter
2023-02-09,RPT0125286,PRD00002,SupplierB,Shorts,Cotton,0.35,27.0,Method2,LayoutC,Good,S,Summer
2023-02-09,RPT0288602,PRD00033,SupplierC,Shirt,Silk,0.14,35.0,Method3,LayoutB,Good,L,Winter
2023-02-09,RPT0311737,PRD00028,SupplierB,Dress,Silk,0.37,34.0,Method3,LayoutB,Good,XS,Winter
2023-02-09,RPT0367069,PRD00025,SupplierA,Dress,Wool,0.72,17.0,Method3,LayoutC,Good,M,Autumn
2023-02-09,RPT0477781,PRD00003,SupplierA,Sweater,Cotton,0.85,18.0,Method2,LayoutC,Good,M,Spring
2023-02-10,RPT0131420,PRD00029,SupplierA,Skirt,Wool,0.32,22.0,Method3,LayoutC,Good,S,Summer
2023-02-10,RPT0322120,PRD00022,SupplierA,Shirt,Cotton,0.16,42.0,Method2,LayoutB,Good,M,Autumn
2023-02-10,RPT0414594,PRD00009,SupplierH,Skirt,Linen,0.23,23.0,Method2,LayoutA,Good,L,Summer
2023-02-11,RPT0002547,PRD00008,SupplierD,T-Shirt,Polyester,0.13,31.0,Method2,LayoutA,Good,S,Spring
2023-02-11,RPT0043088,PRD00012,SupplierB,Shorts,Wool,0.33,27.0,Method3,LayoutB,Good,XS,Summer
2023-02-11,RPT0147628,PRD00019,SupplierB,Jacket,Cotton,0.76,15.0,Method1,LayoutC,Good,M,Summer
2023-02-11,RPT0212238,PRD00034,SupplierF,Shorts,Silk,0.23,24.0,Method3,LayoutA,Good,M,Summer
2023-02-11,RPT0307791,PRD00028,SupplierA,Dress,Silk,0.37,23.0,Method3,LayoutB,Bad,XS,Winter
2023-02-12,RPT0073626,PRD00002,SupplierC,Shorts,Cotton,0.35,12.0,Method2,LayoutB,Good,S,Summer
2023-02-12,RPT0190828,PRD00005,SupplierD,Shirt,Polyester,0.16,40.0,Method1,LayoutA,Bad,M,Spring
2023-02-12,RPT0237912,PRD00024,SupplierH,Jacket,Cotton,0.73,15.0,Method1,LayoutC,Good,L,Summer
2023-02-12,RPT0307802,PRD00032,SupplierA,Shirt,Denim,0.3,30.0,Method2,LayoutC,Good,S,Summer
2023-02-12,RPT0470714,PRD00028,SupplierG,Dress,Silk,0.37,25.0,Method3,LayoutC,Good,XS,Winter
2023-02-12,RPT0488305,PRD00025,SupplierH,Dress,Wool,0.72,17.0,Method3,LayoutD,bad,M,Autumn
2023-02-13,RPT0021439,PRD00017,SupplierF,Pants,Cotton,0.37,21.0,Method2,LayoutC,Bad,L,Summer
2023-02-13,RPT0103741,PRD00014,SupplierD,Pants,Cotton,0.42,33.0,Method2,LayoutB,Good,M,Winter
2023-02-13,RPT0142585,PRD00027,SupplierB,Shirt,Silk,0.11,38.0,Method3,LayoutA,Bad,S,Summer
2023-02-13,RPT0197657,PRD00010,SupplierD,Coat,Linen,1.51,4.0,Method2,LayoutE,Good,S,Summer
2023-02-13,RPT0350089,PRD00007,SupplierC,Shirt,Cotton,0.22,24.0,Method1,LayoutB,Good,XL,Winter
2023-02-14,RPT0295999,PRD00019,SupplierG,Jacket,Cotton,0.76,17.0,Method1,LayoutD,Bad,M,Summer
2023-02-14,RPT0304456,PRD00014,SupplierA,Pants,Cotton,0.42,33.0,Method1,LayoutC,Good,M,Winter
2023-02-16,RPT0047020,PRD00014,SupplierF,Pants,Cotton,0.42,28.0,Method2,LayoutB,Bad,M,Winter
2023-02-16,RPT0069279,PRD00022,SupplierD,Shirt,Cotton,0.16,30.0,Method1,LayoutB,Good,M,Autumn
2023-02-16,RPT0237504,PRD00019,SupplierF,Jacket,Cotton,0.76,12.0,Method1,LayoutD,Good,M,Summer
2023-02-16,RPT0289084,PRD00016,SupplierB,Shirt,Cotton,0.2,28.0,Method1,LayoutA,Good,L,Spring
2023-02-16,RPT0369128,PRD00001,SupplierD,Jacket,Cotton,0.84,10.0,Method2,LayoutC,Good,L,Summer
2023-02-16,RPT0487133,PRD00034,SupplierF,Shorts,Silk,0.23,32.0,Method3,LayoutB,Good,M,Summer
2023-02-17,RPT0051522,PRD00009,SupplierA,Skirt,Linen,0.23,32.0,Method3,LayoutA,Good,L,Summer
2023-02-17,RPT0062756,PRD00008,SupplierB,T-Shirt,Polyester,0.13,47.0,Method1,LayoutA,Good,S,Spring
2023-02-17,RPT0149871,PRD00028,SupplierB,Dress,Silk,0.37,21.0,Method3,LayoutA,Good,XS,Winter
2023-02-17,RPT0170268,PRD00021,SupplierA,Suit,Cotton,1.11,9.0,Method2,LayoutE,Good,M,Spring
2023-02-17,RPT0350892,PRD00020,SupplierB,Pants,Cotton,0.34,24.0,Method2,LayoutB,Good,S,Spring
2023-02-17,RPT0476339,PRD00028,SupplierG,Dress,Silk,0.37,26.0,Method3,LayoutC,Good,XS,Winter
2023-02-18,RPT0115038,PRD00011,SupplierA,Shirt,Silk,0.15,30.0,Method3,LayoutB,Good,M,Summer
2023-02-18,RPT0176185,PRD00007,SupplierA,Shirt,Cotton,0.22,25.0,Method2,LayoutB,Good,XL,Winter
2023-02-18,RPT0215055,PRD00012,SupplierA,Shorts,Wool,0.33,12.0,Method3,LayoutC,Good,XS,Summer
2023-02-18,RPT0384149,PRD00030,SupplierD,Shirt,Wool,0.26,31.0,Method3,LayoutC,Bad,S,Winter
2023-02-18,RPT0483230,PRD00031,SupplierA,Skirt,Cotton,0.32,22.0,Method1,LayoutB,Bad,L,Summer
2023-02-19,RPT0051332,PRD00030,SupplierC,Shirt,Wool,0.26,28.0,Method3,LayoutC,Bad,S,Winter
2023-02-19,RPT0412689,PRD00019,SupplierB,Jacket,Cotton,0.76,11.0,Method1,LayoutC,Good,M,Summer
2023-02-20,RPT0039337,PRD00006,SupplierD,Shirt,Silk,0.16,31.0,Method3,LayoutB,Good,L,Summer
2023-02-20,RPT0133672,PRD00018,SupplierF,Dress,Cotton,0.46,22.0,Method2,LayoutC,Good,XL,Winter
2023-02-20,RPT0136900,PRD00004,SupplierA,Skirt,Polyester,0.25,28.0,Method2,LayoutB,Good,L,Winter
2023-02-20,RPT0269737,PRD00001,SupplierA,Jacket,Cotton,0.84,10.0,Method1,LayoutD,Good,L,Summer
2023-02-20,RPT0464885,PRD00003,SupplierC,Sweater,Cotton,0.85,13.0,Method2,LayoutC,Bad,M,Spring
2023-02-21,RPT0301589,PRD00002,SupplierA,Shorts,Cotton,0.35,32.0,Method1,LayoutC,Good,S,Summer
2023-02-21,RPT0320165,PRD00003,SupplierA,Sweater,Cotton,0.85,12.0,Method1,LayoutD,Good,M,Spring
2023-02-22,RPT0017807,PRD00002,SupplierA,Shorts,Cotton,0.35,21.0,Method1,LayoutC,Good,S,Summer
2023-02-22,RPT0070016,PRD00018,SupplierG,Dress,Cotton,0.46,25.0,Method2,LayoutC,Good,XL,Winter
2023-02-22,RPT0105479,PRD00006,SupplierD,Shirt,Silk,0.16,37.0,Method3,LayoutA,Bad,L,Summer
2023-02-22,RPT0287293,PRD00016,SupplierA,Shirt,Cotton,0.2,27.0,Method2,LayoutB,Good,L,Spring
2023-02-22,RPT0305941,PRD00004,SupplierC,Skirt,Polyester,0.25,26.0,Method1,LayoutC,Good,L,Winter
2023-02-22,RPT0322619,PRD00026,SupplierB,T-Shirt,Cotton,0.15,30.0,Method2,LayoutB,Good,M,Autumn
2023-02-23,RPT0188738,PRD00001,SupplierA,Jacket,Cotton,0.84,14.0,Method2,LayoutC,Good,L,Summer
2023-02-23,RPT0339174,PRD00025,SupplierA,Dress,Wool,0.72,12.0,Method3,LayoutC,Good,M,Autumn
2023-02-23,RPT0429115,PRD00019,SupplierA,Jacket,Cotton,0.76,30.0,Method1,LayoutD,Good,M,Summer
2023-02-24,RPT0337567,PRD00024,SupplierA,Jacket,Cotton,0.73,11.0,Method2,LayoutC,Good,L,Summer
2023-02-25,RPT0275657,PRD00026,SupplierA,T-Shirt,Cotton,0.15,37.0,Method1,LayoutB,Good,M,Autumn
2023-02-25,RPT0312558,PRD00030,SupplierB,Shirt,Wool,0.26,29.0,Method3,LayoutC,Bad,S,Winter
2023-02-26,RPT0035400,PRD00002,SupplierA,Shorts,Cotton,0.35,21.0,Method1,LayoutB,Good,S,Summer
2023-02-26,RPT0379084,PRD00034,SupplierC,Shorts,Silk,0.23,30.0,Method3,LayoutA,Good,M,Summer
2023-02-27,RPT0097265,PRD00015,SupplierF,Shirt,Polyester,0.12,34.0,Method1,LayoutB,Good,M,Summer
2023-02-27,RPT0241717,PRD00018,SupplierC,Dress,Cotton,0.46,20.0,Method2,LayoutC,Good,XL,Winter
2023-02-28,RPT0028125,PRD00019,SupplierE,Jacket,Cotton,0.76,14.0,Method1,LayoutD,Good,M,Summer
2023-02-28,RPT0071391,PRD00030,SupplierD,Shirt,Wool,0.26,29.0,Method3,LayoutB,Good,S,Winter
2023-02-28,RPT0137765,PRD00020,SupplierB,Pants,Cotton,0.34,21.0,Method1,LayoutB,Good,S,Spring
2023-02-28,RPT0156491,PRD00004,SupplierA,Skirt,Polyester,0.25,28.0,Method2,LayoutB,Good,L,Winter
2023-03-01,RPT0323780,PRD00005,SupplierB,Shirt,Polyester,0.16,39.0,Method1,LayoutB,Good,M,Spring
2023-03-01,RPT0380004,PRD00033,SupplierE,Shirt,Silk,0.14,45.0,Method3,LayoutB,Bad,L,Winter
2023-03-01,RPT0444934,PRD00028,SupplierC,Dress,Silk,0.37,25.0,Method3,LayoutC,Bad,XS,Winter
2023-03-02,RPT0265954,PRD00013,SupplierH,T-Shirt,Silk,0.1,42.0,Method3,LayoutB,Bad,S,Summer
2023-03-02,RPT0422058,PRD00018,SupplierB,Dress,Cotton,0.46,32.0,Method1,LayoutB,Good,XL,Winter
2023-03-03,RPT0068835,PRD00018,SupplierA,Dress,Cotton,0.46,33.0,Method1,LayoutB,Bad,XL,Winter
2023-03-03,RPT0344936,PRD00025,SupplierD,Dress,Wool,0.72,18.0,Method3,LayoutD,Bad,M,Autumn
2023-03-03,RPT0411545,PRD00013,SupplierG,T-Shirt,Silk,0.1,31.0,Method3,LayoutA,Good,S,Summer
2023-03-03,RPT0498589,PRD00001,SupplierD,Jacket,Cotton,0.84,10.0,Method1,LayoutC,Bad,L,Summer
2023-03-04,RPT0065887,PRD00013,SupplierB,T-Shirt,Silk,0.1,36.0,Method3,LayoutB,Good,S,Summer
2023-03-04,RPT0180198,PRD00004,SupplierC,Skirt,Polyester,0.25,20.0,Method1,LayoutC,Bad,L,Winter
2023-03-05,RPT0064321,PRD00006,SupplierE,Shirt,Silk,0.16,40.0,Method3,LayoutA,Bad,L,Summer
2023-03-05,RPT0220572,PRD00031,SupplierC,Skirt,Cotton,0.32,23.0,Method2,LayoutB,Bad,L,Summer
2023-03-06,RPT0001696,PRD00002,SupplierF,Shorts,Cotton,0.35,20.0,Method2,LayoutC,Bad,S,Summer
2023-03-06,RPT0048077,PRD00028,SupplierA,Dress,Silk,0.37,33.0,Method3,LayoutB,Good,XS,Winter
2023-03-06,RPT0176681,PRD00028,SupplierE,Dress,Silk,0.37,26.0,Method3,LayoutB,Good,XS,Winter
2023-03-06,RPT0260878,PRD00014,SupplierB,Pants,Cotton,0.42,25.0,Method1,LayoutB,Good,M,Winter
2023-03-06,RPT0284981,PRD00030,SupplierB,Shirt,Wool,0.26,25.0,Method3,LayoutC,Good,S,Winter
2023-03-06,RPT0383696,PRD00003,SupplierE,Sweater,Cotton,0.85,12.0,Method2,LayoutC,Good,M,Spring
2023-03-07,RPT0069310,PRD00033,SupplierA,Shirt,Silk,0.14,47.0,Method3,LayoutA,Good,L,Winter
2023-03-08,RPT0079162,PRD00005,SupplierA,Shirt,Polyester,0.16,30.0,Method2,LayoutA,Good,M,Spring
2023-03-08,RPT0182411,PRD00024,SupplierA,Jacket,Cotton,0.73,16.0,Method2,LayoutD,Good,L,Summer
2023-03-08,RPT0269013,PRD00001,SupplierA,Jacket,Cotton,0.84,15.0,Method2,LayoutC,Good,L,Summer
2023-03-09,RPT0063595,PRD00002,SupplierD,Shorts,Cotton,0.35,20.0,Method1,LayoutC,Good,S,Summer
