ProductReference,SupplierName,ProposedLayout,ProposedFoldingMethod,ProposedUnitsPerCarton,ProductName,GarmentType,Material,Size,Collection,Weight
PRD00065,SupplierA,LayoutB,Method2,29.0,Pants Cotton XL,Pants,Cotton,XL,Spring,0.38
PRD00083,SupplierH,LayoutC,Method3,14.0,Pants Wool S,Pants,Wool,S,Autumn,0.58
PRD00082,SupplierA,LayoutD,Method2,17.0,Suit Polyester M,Suit,Polyester,M,Autumn,0.86
PRD00081,SupplierB,LayoutB,Method2,49.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Spring,0.13
PRD00080,SupplierA,LayoutB,Method2,24.0,Shirt Denim M,Shirt,Denim,M,Summer,0.27
PRD00079,SupplierD,LayoutC,Method1,19.0,Jacket Cotton L,Jacket,Cotton,L,Summer,0.72
PRD00078,SupplierE,LayoutA,Method1,49.0,Shirt Polyester M,Shirt,Polyester,M,Summer,0.18
PRD00077,SupplierC,LayoutB,Method1,36.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Winter,0.14
PRD00076,SupplierA,LayoutC,Method1,19.0,Sweater Cotton M,Sweater,Cotton,M,Summer,0.77
PRD00075,SupplierB,LayoutE,Method2,8.0,Coat Denim L,Coat,Denim,L,Winter,1.96
PRD00094,SupplierB,LayoutB,Method2,28.0,Skirt Linen M,Skirt,Linen,M,Autumn,0.29
PRD00093,SupplierD,LayoutC,Method2,12.0,Sweater Cotton L,Sweater,Cotton,L,Winter,0.75
PRD00092,SupplierC,LayoutE,Method1,7.0,Coat Cotton L,Coat,Cotton,L,Autumn,1.31
PRD00091,SupplierA,LayoutA,Method2,29.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.2
PRD00090,SupplierA,LayoutC,Method1,19.0,Dress Cotton M,Dress,Cotton,M,Spring,0.5
PRD00089,SupplierA,LayoutA,Method3,34.0,Blouse Linen M,Blouse,Linen,M,Summer,0.22
PRD00088,SupplierB,LayoutC,Method1,10.0,Suit Polyester S,Suit,Polyester,S,Winter,0.95
PRD00087,SupplierB,LayoutC,Method3,17.0,Sweater Wool S,Sweater,Wool,S,Winter,0.84
PRD00086,SupplierD,LayoutC,Method1,21.0,Pants Polyester M,Pants,Polyester,M,Summer,0.36
PRD00085,SupplierC,LayoutB,Method1,22.0,Pants Cotton S,Pants,Cotton,S,Spring,0.46
PRD00084,SupplierF,LayoutB,Method2,40.0,Shirt Polyester L,Shirt,Polyester,L,Spring,0.15
PRD00104,SupplierA,LayoutC,Method2,29.0,Dress Cotton M,Dress,Cotton,M,Winter,0.44
PRD00103,SupplierA,LayoutB,Method2,15.0,Pants Denim M,Pants,Denim,M,Spring,0.54
PRD00102,SupplierB,LayoutC,Method2,13.0,Suit Polyester S,Suit,Polyester,S,Spring,0.77
PRD00101,SupplierC,LayoutC,Method2,34.0,Shirt Denim XL,Shirt,Denim,XL,Winter,0.28
PRD00100,SupplierE,LayoutA,Method2,23.0,Shirt Cotton S,Shirt,Cotton,S,Summer,0.22
PRD00099,SupplierG,LayoutB,Method2,30.0,Shirt Cotton XL,Shirt,Cotton,XL,Summer,0.24
PRD00098,SupplierD,LayoutC,Method3,13.0,Jacket Wool M,Jacket,Wool,M,Summer,0.79
PRD00097,SupplierC,LayoutC,Method2,28.0,Dress Polyester M,Dress,Polyester,M,Spring,0.38
PRD00096,SupplierB,LayoutC,Method2,18.0,Dress Cotton M,Dress,Cotton,M,Winter,0.59
PRD00095,SupplierF,LayoutB,Method2,41.0,T-Shirt Linen L,T-Shirt,Linen,L,Summer,0.13
PRD00114,SupplierE,LayoutB,Method1,38.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Spring,0.13
PRD00113,SupplierA,LayoutB,Method3,25.0,Shorts Wool M,Shorts,Wool,M,Summer,0.35
PRD00112,SupplierB,LayoutA,Method2,32.0,Shirt Cotton L,Shirt,Cotton,L,Spring,0.21
PRD00111,SupplierD,LayoutB,Method1,24.0,Pants Cotton XL,Pants,Cotton,XL,Summer,0.41
PRD00110,SupplierD,LayoutB,Method1,20.0,Shirt Cotton M,Shirt,Cotton,M,Winter,0.21
PRD00109,SupplierA,LayoutB,Method2,21.0,Pants Cotton L,Pants,Cotton,L,Summer,0.36
PRD00108,SupplierD,LayoutC,Method1,17.0,Sweater Polyester L,Sweater,Polyester,L,Summer,0.61
PRD00107,SupplierE,LayoutC,Method1,12.0,Jacket Cotton L,Jacket,Cotton,L,Autumn,0.82
PRD00106,SupplierA,LayoutC,Method2,21.0,Pants Cotton S,Pants,Cotton,S,Summer,0.36
PRD00105,SupplierA,LayoutC,Method3,24.0,Blouse Wool L,Blouse,Wool,L,Winter,0.29
PRD00125,SupplierA,LayoutB,Method2,12.0,Pants Cotton L,Pants,Cotton,L,Summer,0.54
PRD00124,SupplierB,LayoutA,Method3,27.0,Shirt Wool M,Shirt,Wool,M,Winter,0.24
PRD00123,SupplierC,LayoutC,Method3,23.0,Pants Silk XL,Pants,Silk,XL,Summer,0.3
PRD00122,SupplierC,LayoutC,Method1,32.0,Blouse Cotton XL,Blouse,Cotton,XL,Summer,0.27
PRD00121,SupplierE,LayoutA,Method1,36.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Spring,0.15
PRD00120,SupplierA,LayoutC,Method2,31.0,Skirt Linen M,Skirt,Linen,M,Winter,0.31
PRD00119,SupplierC,LayoutA,Method1,26.0,Blouse Cotton S,Blouse,Cotton,S,Summer,0.21
PRD00118,SupplierA,LayoutB,Method2,45.0,Shirt Polyester M,Shirt,Polyester,M,Summer,0.15
PRD00117,SupplierE,LayoutB,Method2,38.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Summer,0.13
PRD00116,SupplierE,LayoutC,Method1,24.0,Blouse Cotton M,Blouse,Cotton,M,Spring,0.21
PRD00115,SupplierH,LayoutC,Method1,17.0,Suit Cotton M,Suit,Cotton,M,Autumn,0.93
PRD00137,SupplierA,LayoutC,Method1,10.0,Dress Cotton M,Dress,Cotton,M,Winter,0.51
PRD00136,SupplierB,LayoutB,Method1,30.0,Pants Cotton S,Pants,Cotton,S,Autumn,0.34
PRD00135,SupplierC,LayoutC,Method2,29.0,Shorts Cotton S,Shorts,Cotton,S,Spring,0.31
PRD00134,SupplierE,LayoutB,Method1,33.0,Pants Polyester M,Pants,Polyester,M,Summer,0.36
PRD00133,SupplierA,LayoutB,Method2,49.0,Shirt Polyester L,Shirt,Polyester,L,Winter,0.15
PRD00132,SupplierE,LayoutB,Method1,26.0,Pants Cotton XS,Pants,Cotton,XS,Autumn,0.3
PRD00131,SupplierA,LayoutE,Method2,6.0,Jacket Denim M,Jacket,Denim,M,Autumn,1.19
PRD00130,SupplierB,LayoutC,Method3,15.0,Dress Wool L,Dress,Wool,L,Autumn,0.5
PRD00129,SupplierF,LayoutB,Method1,34.0,Shirt Polyester M,Shirt,Polyester,M,Spring,0.18
PRD00128,SupplierG,LayoutA,Method3,40.0,T-Shirt Linen S,T-Shirt,Linen,S,Winter,0.12
PRD00127,SupplierB,LayoutB,Method2,35.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Summer,0.14
PRD00126,SupplierB,LayoutD,Method2,14.0,Jacket Linen S,Jacket,Linen,S,Spring,0.93
PRD00147,SupplierC,LayoutC,Method2,29.0,Skirt Linen XL,Skirt,Linen,XL,Summer,0.31
PRD00146,SupplierD,LayoutA,Method2,3.0,Shirt Linen L,Shirt,Linen,L,Autumn,0.17
PRD00145,SupplierA,LayoutC,Method2,24.0,Pants Polyester L,Pants,Polyester,L,Spring,0.31
PRD00144,SupplierH,LayoutC,Method2,25.0,Pants Cotton L,Pants,Cotton,L,Summer,0.46
PRD00143,SupplierC,LayoutC,Method3,21.0,Dress Silk M,Dress,Silk,M,Winter,0.34
PRD00142,SupplierH,LayoutB,Method2,32.0,Pants Polyester S,Pants,Polyester,S,Summer,0.36
PRD00141,SupplierF,LayoutB,Method1,24.0,Shorts Cotton L,Shorts,Cotton,L,Spring,0.33
PRD00140,SupplierD,LayoutC,Method2,13.0,Hoodie Polyester M,Hoodie,Polyester,M,Summer,0.69
PRD00139,SupplierB,LayoutD,Method2,13.0,Jacket Polyester L,Jacket,Polyester,L,Spring,0.65
PRD00138,SupplierH,LayoutE,Method1,4.0,Coat Polyester S,Coat,Polyester,S,Winter,1.25
PRD00157,SupplierB,LayoutE,Method1,7.0,Coat Cotton M,Coat,Cotton,M,Autumn,1.51
PRD00156,SupplierB,LayoutC,Method1,25.0,Pants Polyester S,Pants,Polyester,S,Autumn,0.39
PRD00155,SupplierA,LayoutC,Method2,14.0,Hoodie Linen M,Hoodie,Linen,M,Winter,0.92
PRD00154,SupplierA,LayoutB,Method2,33.0,Dress Cotton L,Dress,Cotton,L,Autumn,0.49
PRD00153,SupplierB,LayoutB,Method2,28.0,Shirt Cotton S,Shirt,Cotton,S,Autumn,0.2
PRD00152,SupplierB,LayoutB,Method2,23.0,Pants Cotton S,Pants,Cotton,S,Winter,0.4
PRD00151,SupplierC,LayoutA,Method3,32.0,Blouse Silk S,Blouse,Silk,S,Winter,0.21
PRD00150,SupplierB,LayoutC,Method2,32.0,Pants Cotton L,Pants,Cotton,L,Summer,0.37
PRD00149,SupplierA,LayoutA,Method3,33.0,Shirt Silk M,Shirt,Silk,M,Spring,0.13
PRD00148,SupplierD,LayoutC,Method1,30.0,Dress Polyester S,Dress,Polyester,S,Winter,0.45
PRD00167,SupplierB,LayoutC,Method1,28.0,Pants Polyester M,Pants,Polyester,M,Summer,0.31
PRD00166,SupplierA,LayoutA,Method1,9999.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Spring,0.12
PRD00165,SupplierB,LayoutA,Method3,48.0,Shirt Silk M,Shirt,Silk,M,Spring,0.12
PRD00164,SupplierB,LayoutB,Method2,9999.0,Skirt Cotton L,Skirt,Cotton,L,Spring,0.28
PRD00163,SupplierB,LayoutC,Method2,13.0,Suit Polyester L,Suit,Polyester,L,Summer,0.85
PRD00162,SupplierE,LayoutC,Method1,13.0,Suit Polyester XL,Suit,Polyester,XL,Summer,0.73
PRD00161,SupplierE,LayoutD,Method1,18.0,Jacket Polyester L,Jacket,Polyester,L,Winter,0.68
PRD00160,SupplierA,LayoutD,Method3,17.0,Sweater Linen M,Sweater,Linen,M,Autumn,0.61
PRD00159,SupplierA,LayoutB,Method3,28.0,Pants Silk S,Pants,Silk,S,Summer,0.26
PRD00158,SupplierB,LayoutC,Method1,11.0,Sweater Cotton L,Sweater,Cotton,L,Winter,0.87
PRD00177,SupplierH,LayoutD,Method3,6.0,Coat Linen L,Coat,Linen,L,Autumn,1.18
PRD00176,SupplierB,LayoutA,Method1,32.0,Shirt Cotton S,Shirt,Cotton,S,Summer,0.22
PRD00175,SupplierC,LayoutC,Method2,13.0,Suit Cotton M,Suit,Cotton,M,Spring,0.99
PRD00174,SupplierC,LayoutB,Method1,33.0,Pants Cotton S,Pants,Cotton,S,Winter,0.41
PRD00173,SupplierC,LayoutC,Method1,31.0,Dress Polyester XS,Dress,Polyester,XS,Spring,0.36
PRD00172,SupplierB,LayoutA,Method1,20.0,Shirt Cotton S,Shirt,Cotton,S,Winter,0.2
PRD00171,SupplierB,LayoutD,Method2,4.0,Coat Polyester XL,Coat,Polyester,XL,Summer,1.22
PRD00170,SupplierB,LayoutA,Method1,25.0,Skirt Polyester L,Skirt,Polyester,L,Spring,0.24
PRD00169,SupplierD,LayoutA,Method2,31.0,Shirt Polyester M,Shirt,Polyester,M,Summer,0.14
PRD00168,SupplierC,LayoutA,Method1,9999.0,Shirt Cotton L,Shirt,Cotton,L,Autumn,0.21
PRD00189,SupplierF,LayoutB,Method1,13.0,Dress Cotton L,Dress,Cotton,L,Winter,0.51
PRD00188,SupplierC,LayoutA,Method3,20.0,Skirt Silk S,Skirt,Silk,S,Summer,0.23
PRD00187,SupplierA,LayoutA,Method3,36.0,T-Shirt Linen S,T-Shirt,Linen,S,Autumn,0.15
PRD00186,SupplierB,LayoutC,Method2,19.0,Suit Polyester S,Suit,Polyester,S,Summer,0.89
PRD00185,SupplierA,LayoutB,Method1,34.0,Pants Polyester M,Pants,Polyester,M,Spring,0.37
PRD00184,SupplierB,LayoutA,Method1,27.0,Blouse Cotton XL,Blouse,Cotton,XL,Spring,0.24
PRD00183,SupplierC,LayoutC,Method1,22.0,Shorts Cotton XL,Shorts,Cotton,XL,Summer,0.3
PRD00182,SupplierA,LayoutB,Method2,32.0,Shirt Polyester L,Shirt,Polyester,L,Summer,0.15
PRD00181,SupplierA,LayoutC,Method3,21.0,Pants Wool XL,Pants,Wool,XL,Winter,0.43
PRD00180,SupplierB,LayoutA,Method3,27.0,Shirt Wool S,Shirt,Wool,S,Spring,0.23
PRD00179,SupplierA,LayoutB,Method2,28.0,Shorts Polyester M,Shorts,Polyester,M,Spring,0.21
PRD00178,SupplierD,LayoutC,Method2,11.0,Jacket Polyester XS,Jacket,Polyester,XS,Summer,0.65
PRD00198,SupplierH,LayoutB,Method3,31.0,Blouse Linen S,Blouse,Linen,S,Winter,0.23
PRD00197,SupplierA,LayoutD,Method3,19.0,Sweater Wool M,Sweater,Wool,M,Spring,0.7
PRD00196,SupplierG,LayoutC,Method3,21.0,Pants Silk L,Pants,Silk,L,Winter,0.25
PRD00195,SupplierA,LayoutB,Method2,30.0,Pants Cotton M,Pants,Cotton,M,Summer,0.34
PRD00194,SupplierE,LayoutC,Method3,0.0,Suit Silk L,Suit,Silk,L,Winter,0.62
PRD00193,SupplierC,LayoutA,Method1,28.0,Blouse Cotton L,Blouse,Cotton,L,Summer,0.23
PRD00192,SupplierA,LayoutB,Method1,21.0,Blouse Cotton L,Blouse,Cotton,L,Summer,0.3
PRD00191,SupplierB,LayoutB,Method2,0.0,Shirt Polyester S,Shirt,Polyester,S,Winter,0.16
PRD00190,SupplierD,LayoutC,Method1,28.0,Pants Cotton XS,Pants,Cotton,XS,Autumn,0.45
PRD00209,SupplierB,LayoutB,Method2,24.0,Shirt Cotton M,Shirt,Cotton,M,Winter,0.2
PRD00208,SupplierB,LayoutD,Method1,11.0,Suit Cotton L,Suit,Cotton,L,Spring,0.93
PRD00207,SupplierA,LayoutA,Method2,40.0,Shirt Linen L,Shirt,Linen,L,Summer,0.17
PRD00206,SupplierF,LayoutA,Method2,45.0,Shirt Cotton M,Shirt,Cotton,M,Winter,0.17
PRD00205,SupplierB,LayoutB,Method1,31.0,Skirt Cotton L,Skirt,Cotton,L,Spring,0.28
PRD00204,SupplierF,LayoutB,Method1,20.0,Blouse Cotton S,Blouse,Cotton,S,Summer,0.24
PRD00203,SupplierA,LayoutB,Method1,22.0,Shirt Cotton M,Shirt,Cotton,M,Spring,0.22
PRD00202,SupplierA,LayoutB,Method1,39.0,Shirt Cotton M,Shirt,Cotton,M,Autumn,0.19
PRD00201,SupplierC,LayoutD,Method2,16.0,Suit Polyester S,Suit,Polyester,S,Winter,0.69
PRD00200,SupplierF,LayoutA,Method1,33.0,T-Shirt Cotton XL,T-Shirt,Cotton,XL,Summer,0.15
PRD00199,SupplierC,LayoutB,Method1,31.0,Blouse Cotton L,Blouse,Cotton,L,Spring,0.27
PRD00219,SupplierA,LayoutD,Method2,12.0,Suit Polyester L,Suit,Polyester,L,Summer,0.81
PRD00218,SupplierA,LayoutD,Method1,14.0,Sweater Cotton M,Sweater,Cotton,M,Summer,0.62
PRD00217,SupplierB,LayoutC,Method1,32.0,Pants Polyester L,Pants,Polyester,L,Autumn,0.34
PRD00216,SupplierA,LayoutC,Method2,12.5,Pants Linen M,Pants,Linen,M,Winter,0.33
PRD00215,SupplierG,LayoutD,Method3,9.0,Coat Silk L,Coat,Silk,L,Winter,1.25
PRD00214,SupplierC,LayoutB,Method1,30.0,Pants Polyester M,Pants,Polyester,M,Autumn,0.28
PRD00213,SupplierD,LayoutC,Method1,8.0,Suit Cotton S,Suit,Cotton,S,Autumn,1.05
PRD00212,SupplierC,LayoutD,Method1,8.0,Coat Cotton XS,Coat,Cotton,XS,Autumn,1.53
PRD00211,SupplierA,LayoutC,Method2,34.0,Skirt Denim S,Skirt,Denim,S,Summer,0.38
PRD00210,SupplierA,LayoutA,Method1,43.0,Shirt Polyester S,Shirt,Polyester,S,Summer,0.17
PRD00229,SupplierA,LayoutB,Method1,23.0,Blouse Cotton M,Blouse,Cotton,M,Spring,0.25
PRD00228,SupplierD,LayoutB,Method2,17.0,Jacket Linen S,Jacket,Linen,S,Autumn,0.53
PRD00227,SupplierD,LayoutE,Method3,8.0,Hoodie Wool S,Hoodie,Wool,S,Spring,1.13
PRD00226,SupplierB,LayoutB,Method2,20.0,Pants Polyester M,Pants,Polyester,M,Summer,0.26
PRD00225,SupplierG,LayoutC,Method2,22.0,Pants Cotton L,Pants,Cotton,L,Winter,0.47
PRD00224,SupplierA,LayoutC,Method2,16.0,Jacket Cotton L,Jacket,Cotton,L,Autumn,0.82
PRD00223,SupplierA,LayoutB,Method2,33.0,Shirt Denim L,Shirt,Denim,L,Summer,0.29
PRD00222,SupplierE,LayoutB,Method3,25.0,Skirt Wool L,Skirt,Wool,L,Summer,0.35
PRD00221,SupplierD,LayoutD,Method3,7.0,Suit Wool S,Suit,Wool,S,Winter,1.4
PRD00220,SupplierB,LayoutB,Method2,43.0,T-Shirt Cotton XL,T-Shirt,Cotton,XL,Summer,0.15
PRD00238,SupplierA,LayoutA,Method1,47.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.19
PRD00237,SupplierA,LayoutB,Method2,24.0,Pants Linen S,Pants,Linen,S,Autumn,0.39
PRD00236,SupplierB,LayoutC,Method1,17.0,Sweater Polyester XS,Sweater,Polyester,XS,Summer,0.56
PRD00235,SupplierA,LayoutA,Method3,28.0,Shirt Linen M,Shirt,Linen,M,Autumn,0.23
PRD00234,SupplierD,LayoutB,Method2,23.0,Dress Polyester L,Dress,Polyester,L,Summer,0.42
PRD00233,SupplierB,LayoutB,Method3,24.0,Skirt Silk L,Skirt,Silk,L,Winter,0.2
PRD00232,SupplierD,LayoutB,Method1,19.0,Dress Cotton M,Dress,Cotton,M,Winter,0.54
PRD00231,SupplierA,LayoutA,Method1,30.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Winter,0.14
PRD00230,SupplierB,LayoutE,Method1,8.0,Suit Cotton XL,Suit,Cotton,XL,Winter,1.1
PRD00250,SupplierE,LayoutA,Method1,42.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Summer,0.17
PRD00249,SupplierG,LayoutC,Method2,32.0,Shorts Denim L,Shorts,Denim,L,Winter,0.39
PRD00248,SupplierD,LayoutB,Method2,34.0,Shorts Linen S,Shorts,Linen,S,Spring,0.27
PRD00247,SupplierD,LayoutC,Method2,16.0,Jacket Cotton M,Jacket,Cotton,M,Autumn,0.73
PRD00246,SupplierE,LayoutC,Method2,28.0,Shorts Denim S,Shorts,Denim,S,Summer,0.44
PRD00245,SupplierA,LayoutA,Method1,28.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.2
PRD00244,SupplierD,LayoutD,Method2,14.0,Jacket Cotton L,Jacket,Cotton,L,Autumn,0.86
PRD00243,SupplierA,LayoutB,Method2,29.0,Blouse Polyester XL,Blouse,Polyester,XL,Summer,0.22
PRD00242,SupplierC,LayoutC,Method2,28.0,Shorts Cotton L,Shorts,Cotton,L,Summer,0.32
PRD00241,SupplierF,LayoutB,Method2,23.0,Shorts Polyester M,Shorts,Polyester,M,Summer,0.23
PRD00240,SupplierA,LayoutA,Method2,32.0,Shirt Cotton M,Shirt,Cotton,M,Spring,0.22
PRD00239,SupplierB,LayoutE,Method3,8.0,Suit Linen L,Suit,Linen,L,Summer,1.0
